Index, Raw, Filtered
101, 1558.24, 1560.36
102, 1558.43, 1560.35
103, 1559.00, 1560.47
104, 1558.91, 1560.56
105, 1558.43, 1560.52
106, 1558.71, 1560.56
107, 1558.71, 1560.59
108, 1558.62, 1560.59
109, 1558.81, 1560.64
110, 1558.71, 1560.66
111, 1559.10, 1560.76
112, 1558.52, 1560.71
113, 1559.00, 1560.78
114, 1558.81, 1560.80
115, 1558.81, 1560.81
116, 1558.71, 1560.79
117, 1558.81, 1560.80
118, 1558.91, 1560.83
119, 1558.71, 1560.81
120, 1558.91, 1560.84
121, 1559.10, 1560.91
122, 1559.39, 1561.02
123, 1559.29, 1561.09
124, 1559.10, 1561.11
125, 1558.81, 1561.06
126, 1558.91, 1561.03
127, 1559.00, 1561.04
128, 1558.52, 1560.93
129, 1559.29, 1561.02
130, 1558.62, 1560.94
131, 1558.91, 1560.93
132, 1558.81, 1560.91
